NO,NAMA KAMERA,LOKASI,RINCIAN LOKASI,X_KOOR,Y_KOOR,JARINGAN,NVR,MERK,MODEL
228,ROYAL RESIDENCE BARAT PTZ,SIMPANG,Simpang Jl. Wiyung Depan Perumaha Royal Residence Hadap Barat,"112,679,856","-7,310,148",TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
229,ROYAL RESIDENCE SELATAN PTZ,SIMPANG,Simpang Jl. Wiyung Depan Perumaha Royal Residence Hadap Selatan,"112,679,828","-7,310,255",TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
230,ROYAL RESIDENCE TIMUR PTZ,SIMPANG,Simpang Jl. Wiyung Depan Perumaha Royal Residence Hadap Timur,"112,680,069","-7,310,322",TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
231,ROYAL RESIDENCE PANO,SIMPANG,Simpang Jl. Wiyung Depan Perumaha Royal Residence,"112,679,809","-7,310,253",TELKOM,BARAT,HIKVISION,DS-2CD6986F-H
232,GEREJA KOTA SATELITE PANO,OBJEK VITAL,Jalan HR Muhammad Depan Gereja GKA ,112.7366359,-7.286141519,TELKOM,BARAT,HIKVISION,DS-2CD6986F-H
233,SD PRADAH KALIKENDAL 1 PANO,OBJEK VITAL,HR Muhammad (SDN Pradah Kali Kendal),112.6880901,-7.283002349,TELKOM,BARAT,HIKVISION,DS-2CD6986F-H
234,SD PETRA 1 PANO,OBJEK VITAL,WR Supratman-Wahidin Sudirohusodo,112.7368407,-7.280337234,TELKOM,BARAT,HIKVISION,DS-2CD6986F-H
235,SDN PATEMON TIDAR PANO,OBJEK VITAL,Jl. Tidar (SDN Petemon 2),112.7195089,-7.256292733,TELKOM,BARAT,HIKVISION,DS-2CD6986F-H
236,DARMO PERMAI SELATAN FIX,SIMPANG,Simpang Jl. Raya Darmo Permai Hadap Selatan,"112,689,946","-7,276,961",TELKOM,BARAT,Unidentified,Unidentified
237,DARMO PERMAI BARAT FIX,SIMPANG,Simpang Jl. Raya Darmo Permai Hadap Barat,"112,689,874","-7,276,881",TELKOM,BARAT,Unidentified,Unidentified
238,DARMO PERMAI UTARA FIX,SIMPANG,Simpang Jl. Raya Darmo Permai Hadap Selatan,"112,689,981","-7,276,902",TELKOM,BARAT,Unidentified,Unidentified
239,DARMO PERMAI TIMUR FIX,SIMPANG,Simpang Jl. Raya Darmo Permai Hadap Timur,"112,689,879","-7,276,926",TELKOM,BARAT,Unidentified,Unidentified
240,SATELITE INDAH WIDYAMERTI PANO,SIMPANG,Jl. Satelite Indah Widyamerti,"112,693,799","-7,264,790",TELKOM,BARAT,HIKVISION,DS-2CD6986F-H
241,MARGOMULYO EXIT TOL BARAT PTZ,SIMPANG,Margomulyo akses masuk tol sisi barat,112.6821142,-7.240438955,TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
242,MARGOMULYO EXIT TOL TIMUR PTZ,SIMPANG,Margomulyo akses keluar tol sisi timur ,112.6826466,-7.24110091,TELKOM,BARAT,HIKVISION,DS-2DY3320IW-DE
243,SDN PUTAT JAYA 1 PANO,OBJEK VITAL,Perempatan Jl. Dukuh Kupang -  Jl. Jarak,112.7171357,-7.280215799,TELKOM,BARAT,HIKVISION,DS-2CD6986F-H
244,BUNDARAN PTC PTZ,RUAS,Unidentified,112.6786968,-7.2872740,TELKOM,Unidentified,Unidentified,Unidentified
245,BUNDARAN PTC FIX,RUAS,Unidentified,112.6786968,-7.2872740,TELKOM,Unidentified,Unidentified,Unidentified
246,PCTL SIMO BARAT FIX,RUAS,Unidentified,112.71261187,-7.2681703,TELKOM,Unidentified,Unidentified,Unidentified
247,PCTL SIMO TIMUR FIX,RUAS,Unidentified,112.71261187,-7.2681703,TELKOM,Unidentified,Unidentified,Unidentified
248,UTURN MARGOMULYO DEPAN SPBU PTZ,RUAS,Unidentified,112.68206769,-7.24411709,TELKOM,Unidentified,HIKVISION,Unidentified
249,UTURN MARGOMULYO UTARA PTZ,RUAS,Unidentified,112.68226702,-7.23522838,TELKOM,Unidentified,HIKVISION,Unidentified
250,SDN KANDANGAN PANO,OBJEK VITAL,Unidentified,112.6517948,-7.25215307,TELKOM,Unidentified,HIKVISION,Unidentified
251,DANAU UNESA YONOSOEWOYO,OBJEK VITAL,Unidentified,112.65189,-7.252276254,TELKOM,Unidentified,HIKVISION,DS-2CD6986F-H
252,SDN BABAT JERAWAT PANO,OBJEK VITAL,Jl. Raya Babat Jerawat (SDN Babat Jerawat),112.6249888,-7.240379357,TELKOM,Unidentified,HIKVISION,DS-2CD6986F-H
,,,,,,,,,
253,DIPONEGORO WR. SOEPRATMAN PTZ,SIMPANG,Simpang Jl. Diponegoro - Jl. Wr. Supratman Hadap Selatan,112.7316936,-7.280901653,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
254,WR. SUPRATMAN IMAM BONJOL PANO,SIMPANG,Simpang Jl. Imam Bonjol - Jl. Wr. Supratman,112.7349994,-7.279894766,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
255,DR SOETOMO IMAM BONJOL PTZ,SIMPANG,Simpang Jl. Imam Bonjol - Jl. Dr. Soetomo Hadap Timur,112.7364624,-7.283009143,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
256,RA KARTINI ANWARI PTZ,SIMPANG,Simpang Jl. Ir. Anwari - Jl. Kartini  Hadap Timur,112.7312404,-7.278370145,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
257,PUCANG ANOM PUCANG ADI SISI UTARA FIX,SIMPANG,Simpang Pucang Anom - Pucang Adi Hadap Selatan,112.7558289,-7.284175564,TELKOM,PUSAT,HIKVISION,DS-2CD2642FWD-I
258,PUCANG ANOM PTZ,SIMPANG,Simpang Pucang Anom - Pucang Adi Hadap Utara,112.7558289,-7.284175564,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
259,KEPUTRAN PANDEGILING DOME,SIMPANG,Simpang Pandegiling - Dinoyo - Keputran Hadap Barat,112.7432377,-7.277735956,TELKOM,PUSAT,MAGIC VISION,MV-91021-IR
260,SULAWESI PTZ,SIMPANG,Jalan Sulawesi  Hadap Timur,112.7460762,-7.276434816,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
261,SULAWESI - NGAGEL BAGONG PTZ,SIMPANG,Simpang Sulawesi - Ngagel Hadap Timur,112.7452742,-7.276833283,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
262,SUMATERA GUBENG FIX,SIMPANG,Simpang Gubeng - Karimun jawa (hadap selatan),112.747009,-7.273838737,TELKOM,PUSAT,HIKVISION,MVS-414232-IRMVF
263,KEDUNGSARI TIMUR PTZ,SIMPANG,Simpang Kedungsari Tegalsari Hadap Timur,112.7352409,-7.268036007,KOMINFO,PUSAT,HIKVISION,DS-2DY3320IW-DE
264,KEDUNGSARI BARAT PTZ,SIMPANG,Simpang Kedungsari Tegalsari Hadap Barat,112.7348154,-7.268000592,KOMINFO,PUSAT,HIKVISION,DS-2DY3320IW-DE
265,KEDUNGSARI SELATAN PTZ,SIMPANG,Simpang Kedungsari Tegalsari Hadap Selatan,112.7353091,-7.268226259,KOMINFO,PUSAT,HIKVISION,DS-2DY3320IW-DE
266,TEGALSARI PANO,SIMPANG,Simpang Kedungsari Tegalsari,112.7350534,-7.268182069,KOMINFO,PUSAT,HIKVISION,DS-2CD6986F-H
267,PEMUDA AIR MANCUR TIMUR FIX,SIMPANG,Simpang Pemuda - Pangsud (PCTL-hadap timur),112.745803,-7.264573133,TELKOM,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
268,PEMUDA AIR MANCUR PTZ,SIMPANG,Simpang Pemuda - Pangsud (PCTL-hadap Barat),112.745803,-7.264573133,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
269,GUBENG POJOK GRAND CITY PTZ,RUAS,Gubeng Pojok (depan Grand City hadap Selatan),112.7505833,-7.263369444,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
270,GRAND CITY FIX,RUAS,Gubeng Pojok (depan Grand City hadap Utara),112.7466444,-7.260794444,TELKOM,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
271,YOS SUDARSO TAMAN SURYA PTZ,RUAS,Jl. Yos Sudarso (Patung Sudirman/ Taman Surya) ,112.7466444,-7.260794444,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
272,DARMO ALFALAH SELATAN DOME,SIMPANG,Simpang darmo - diponegoro (al falah) Arah Keluar Kota,112.739081,-7.295581,KOMINFO,PUSAT,HIKVISION,MV-91021-IR-SD-OD
273,DARMO ALFALAH UTARA PTZ,SIMPANG,Simpang darmo - diponegoro (al falah) Arah Masuk Kota,112.73932,-7.29553,KOMINFO,PUSAT,HIKVISION,DS-2DY3320IW-DE
274,DARMO AL-FALAH UTARA FIX,SIMPANG,Simpang Darmo Al-Falah Hadap Utara,112.73932,-7.29553,KOMINFO,PUSAT,Unidentified,Unidentified
275,AMBENGAN JAKSA AGUNG UTARA FIX,SIMPANG,Ambengan - Jaksa Agung Suprapto Hadap Utara,112.746985,-7.255801,KOMINFO,PUSAT,HIKVISION,DS-2CD4232FWD-IZS
276,AMBENGAN JAKSA AGUNG SELATAN FIX,SIMPANG,Ambengan - Jaksa Agung Suprapto Hadap Selatan,112.746821,-7.255961,KOMINFO,PUSAT,HIKVISION,DS-2CD4232FWD-IZS
277,AMBENGAN JAKSA AGUNG BARAT FIX,SIMPANG,Ambengan - Jaksa Agung Suprapto Hadap Barat,112.746829,-7.255832,KOMINFO,PUSAT,HIKVISION,DS-2CD4232FWD-IZS
278,AMBENGAN JAKSA AGUNG  TIMUR FIX,SIMPANG,Ambengan - Jaksa Agung Suprapto Hadap Utara,112.747119,-7.255897,KOMINFO,PUSAT,HIKVISION,DS-2CD4232FWD-IZS
279,DIPONEGORO KBS PTZ,RUAS,Jl. Diponegoro (Kebun binatang surabaya) Hadap Masuk Kota,112.738793,-7.295761,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
280,DINOYO POLISI ISTIMEWA PTZ,SIMPANG,Simpang polisi istimewa - dinoyo,112.743945,-7.279777,TELKOM,PUSAT,MAGIC VISION,MV-90202-SD
281,DARMO POLISI ISTIMEWA TIMUR FIX,SIMPANG,Simpang Darmo - Dr. Soetomo - Polisi Istimewa Hadap Timur,112.740748,-7.281261,KOMINFO,PUSAT,MAGIC VISION,MV-90202-SD
282,DARMO POLISI ISTIMEWA BARAT FIX,SIMPANG,Simpang Darmo - Dr. Soetomo - Polisi Istimewa Hadap Barat,112.740366,-7.281472,KOMINFO,PUSAT,MAGIC VISION,DS-2CD8264F-EI
283,DARMO POLISI ISTIMEWA UTARA PTZ,SIMPANG,Simpang Darmo - Dr. Soetomo - Polisi Istimewa Hadap Utara,112.741377,-7.277306,KOMINFO,PUSAT,MAGIC VISION,DS-2CD8264F-EI
284,DARMO POLISI ISTIMEWA SELATAN FIX,SIMPANG,Simpang Darmo - Dr. Soetomo - Polisi Istimewa Hadap Selatan,112.740564,-7.28116,KOMINFO,PUSAT,HIKVISION,DS-2DY3320IW-DE
285,DARMO KARTINI PTZ,SIMPANG,Simpang Darmo - kartini Hadap Utara,"112,740,847","-7,279,655",KOMINFO,PUSAT,Unidentified,Unidentified
286,URIP SUMOHARJO PANDEGILING PTZ,SIMPANG,Simpang Darmo - Pendegiling (pasopati) Hadap Utara,112.74129,-7.277423,KOMINFO,PUSAT,HIKVISION,DS-2DY3320IW-DE
287,DARMO PANDEGILING PTZ,SIMPANG,Simpang Darmo-Pandegiling Hadap Timur,112.741385,-7.277414,KOMINFO,PUSAT,HIKVISION,DS-2DY3320IW-DE
288,DARMO PANDEGILING BARAT FIX,SIMPANG,Simpang Darmo-Pandegiling Hadap Barat,112.741209,-7.277297,KOMINFO,PUSAT,HIKVISION,MVS-414232-IRMVF
289,DARMO PANDEGILING TIMUR FIX,SIMPANG,Simpang Darmo-Pandegiling Hadap Timur,112.741385,-7.277414,KOMINFO,PUSAT,HIKVISION,MVS-414232-IRMVF
290,PANGLIMA SUDIRMAN (KARAPAN SAPI) PTZ,RUAS,Jl. Panglima Sudirman (karapan sapi) Arah Keluar Kota,112.742253,-7.273242,KOMINFO,PUSAT,MAGIC VISION,MV-90202-SD
291,BASRAH TEGALSARI PTZ,RUAS,Basuki Rahmat – Tegalsari Hadap Utara,112.740929,-7.265888,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
292,BASRAH TEGALSARI DOME,RUAS,Basuki Rahmat – Tegalsari Hadap Selatan,112.740929,-7.265888,TELKOM,PUSAT,MAGIC VISION,DS-2DM1-612H
293,EMBONG MALANG BLAURAN PTZ,SIMPANG,Simpang Kedungdoro - Embong Malang - Blauran Hadap Utara,112.733189,-7.258335,KOMINFO,PUSAT,HIKVISION,DS-2DY3320IW-DE
294,EMBONG MALANG TIDAR SELATAN FIX,SIMPANG,Simpang Kedungdoro - Embong Malang - Blauran Hadap Selatan,112.733217,-7.258451,KOMINFO,PUSAT,HIKVISION,DS-2CD4232FWD-IZS
295,BLAURAN PRABAN PTZ,SIMPANG,Simpang Blauran - Praban - Bubutan Hadap Utara,112.734263,-7.255766,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
296,PCTL EMBONG MALANG TIMUR FIX,RUAS,PCTL Embong Malang (PCTL JW Marriot-hadap Timur),112.7358244,-7.259698461,KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
297,PCTL EMBONG MALANG BARAT FIX,RUAS,PCTL Embong Malang (PCTL JW Marriot-hadap barat),112.7358244,-7.259698461,KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
298,GEMBLONGAN SIOLA TIMUR FR,SIMPANG,Simpang Gemblongan - Tunjungan - Praban (hadap timur),112.737506,-7.255956,KOMINFO,PUSAT,HIKVISION,DS-2CD4232FWD-IZS
299,GEMBLONGAN TUNJUNGAN DOME,SIMPANG,Simpang Gemblongan - Tunjungan - Praban,112.737004,-7.255758,KOMINFO,PUSAT,MAGIC VISION,MVS-414232-IRMVF
300,MONUMEN BAMBU RUNCING SELATAN FIX,RUAS,Monumen Bambu Runcing Hadap Selatan,"112,744,201","-7,268,544",KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
301,MONUMEN BAMBU RUNCING PANO,RUAS,Monumen Bambu Runcing,"112,744,416","-7,268,092",KOMINFO,PUSAT,HIKVISION,DS-2CD6986F-H
302,KAYOON SONOKEMBANG PTZ,SIMPANG,Simpang Kayoon - Sonokembang Hadap Utara,112.744448,-7.272446,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
303,KAYOON SONOKEMBANG BARAT FIX,SIMPANG,Simpang Kayoon - Sonokembang Hadap Selatan,112.744284,-7.272528,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
304,KAYOON SONOKEMBANG UTARA FIX,SIMPANG,Unidentified,"112,744,316","-7,272,408",TELKOM,PUSAT,Unidentified,Unidentified
305,GENTENGKALI UNDAAN FIX,SIMPANG,Gentengkali Undaan Hadap Barat,112.74273,-7.256116,KOMINFO,PUSAT,HIKVISION,DS-2CD4232FWD-IZS
306,GEMBLONGAN SIOLA PANO,SIMPANG,Simpang Gemblongan - Tunjungan - Praban Sisi Jl. Gemblongan,112.736911,-7.25565,TELKOM,PUSAT,HIKVISION,DS-2CD6986F-H
307,IMAM BONJOL SELATAN PTZ,SIMPANG,Simpang Kartini - Imam Bonjol Hadap Selatan,112.7353036,-7.278826364,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
308,IMAM BONJOL TIMUR FIX,SIMPANG,Simpang Kartini - Imam Bonjol Hadap Timur,112.7353869,-7.27895436,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
309,IMAM BONJOL UTARA FIX,SIMPANG,Simpang Kartini - Imam Bonjol Hadap Utara,112.7352705,-7.278996322,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
310,DARMO BENGAWAN SELATAN PTZ,SIMPANG,Simpang Raya Darmo - Bengawan Hadap Selatan,112.7388971,-7.28972993,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
311,DARMO BENGAWAN BARAT PTZ,SIMPANG,Simpang Raya Darmo - Bengawan hadap Barat,112.7389604,-7.289776178,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
312,DARMO KAPUAS PTZ,SIMPANG,Simpang Raya Darmo - Kapuas,112.7392371,-7.288827601,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
313,DARMO BENGAWAN SELATAN FIX,SIMPANG,Simpang Darmo Bengawan Hadap Selatan,"112,738,863","-7,289,818",TELKOM,PUSAT,Unidentified,Unidentified
314,WALIKOTA MUSTAJAB JAKGUNG SUPRAPTO FIX,SIMPANG,Simpang Walikota Mustajab - Jaksa Agung Suprapto Hadap Barat,"112,747,278","-7,260,806",KOMINFO,PUSAT,HIKVISION,DS-2CD6986F-H
315,WALIKOTA MUSTAJAB DEPAN BALAIKOTA PANO,SIMPANG,Walikota Mustajab Depan Balaikota ,112.745943,-7.260497,KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
316,WALIKOTA MUSTAJAB DEPAN SEDAP MALAM FIX,SIMPANG,Walikota Mustajab Depan Sedap Malam Hadap Selatan,"112,747,203","-7,260,769",KOMINFO,PUSAT,Unidentified,Unidentified
317,JAKSA AGUNG SUPRAPTO SATPOL PP UTARA FIX,SIMPANG,Jaksa Agung Suprapto Depan Satpol PP Hadap Utara,112.74654,-7.258267,KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
318,JAKSA AGUNG SUPRAPTO SATPOL PP SELATAN FIX,SIMPANG,Jaksa Agung Suprapto Depan Satpol PP Hadap Selatan,112.74654,-7.258267,KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
319,SULAWESI - BILITON PANO,SIMPANG,Simpang Sulawesi - Biliton,112.749141,-7.277087,TELKOM,PUSAT,HIKVISION,DS-2CD6986F-H
320,RESIDEN SUDIRMAN PTZ,RUAS,Simpang Jl. Residen Sudirman - Jl. Ambengan Hadap Utara,112.754055,-7.256301,KOMINFO,PUSAT,HIKVISION,DS-2DY3320IW-DE
321,GUBERNUR SURYO PANO,RUAS,Jl. Gubernur Suryo (depan Grahadi),112.7432013,-7.263781472,KOMINFO,PUSAT,HIKVISION,DS-2CD6986F-H
322,YOS SUDARSO DPRD FIX,RUAS,Jl. Yos Sudarso (DPRD Tk II) Hadap Utara,112.7458643,-7.263187893,KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
323,PCTL RS DARMO SELATAN PTZ,RUAS,Jl. Darmo PCTL RS Darmo Arah Keluar Kota,112.739386,-7.287334209,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
324,PCTL RS DARMO UTARA FIX,RUAS,Jl. Darmo PCTL RS Darmo Arah Masuk Kota,112.7395333,-7.287266678,TELKOM,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
325,PCTL TUNJUNGAN UTARA FIX,RUAS,PCTL Tunjungan Hadap Utara,112.7389154,-7.259301383,TELKOM,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
326,PCTL TUNJUNGAN SELATAN FIX,RUAS,PCTL Tunjungan Hadap Selatan,112.7388523,-7.259340256,TELKOM,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
327,DARMO MERCURE DOME,RUAS,Jl. Raya Darmo Depan Hotel Mercure Hadap Selatan,112.7399435,-7.284560011,KOMINFO,PUSAT,MAGIC VISION,MVS-414232-IRMVF
328,SOGO EMBONG MALANG PANO,RUAS,Embong Malang Depan Tunjungan Plaza 6,112.739209,-7.260975914,TELKOM,PUSAT,HIKVISION,DS-2CD6986F-H
329,BASUKI RAHMAT TP1 PTZ,RUAS,Basuki Rahmat Depan Tunjungan Plaza 1  Hadap Utara,112.7409761,-7.263270957,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
330,PCTL SUMATERA GUBENG PTZ,RUAS,PCTL Sumatera Gubeng Hadap Selatan,112.7471511,-7.273650325,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
331,AMBENGAN KUSUMA BANGSA BARAT FIX,SIMPANG,Simpang Ambengan - Kusuma Bangsa Hadap Barat,"112,750,471","-7,256,025",KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
332,AMBENGAN KUSUMA BANGSA UTARA FIX,SIMPANG,Simpang Ambengan - Kusuma Bangsa Hadap Utara,"112,750,471","-7,256,025",KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
333,AMBENGAN KUSUMA BANGSA TIMUR FIX,SIMPANG,Simpang Ambengan - Kusuma Bangsa Hadap Timur,"112,750,471","-7,256,025",KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
334,AMBENGAN KUSUMA BANGSA SELATAN FIX ,SIMPANG,Simpang Ambengan - Kusuma Bangsa Hadap Selatan,"112,750,471","-7,256,025",KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
335,AMBENGAN WIJAYA KUSUMA BARAT FIX,SIMPANG,Simpang Ambengan - Wijaya Kusuma Hadap Barat,112.7485667,-7.255961111,KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
336,AMBENGAN WIJAYA KUSUMA SELATAN FIX,SIMPANG,Simpang Ambengan - Wijaya Kusuma Hadap Selatan,112.748775,-7.256169444,KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
337,AMBENGAN WIJAYA KUSUMA TIMUR FIX,SIMPANG,Simpang Ambengan - Wijaya Kusuma Hadap Timur,112.7489889,-7.255977778,KOMINFO,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
338,NGAGEL BILKA TIMUR PTZ,SIMPANG,Simpang Ngagel Jaya Selatan Bilka Hadap Timur,112.755068,-7.29357,TELKOM,PUSAT,HIKVISION,DS-2DY3320IW-DE
339,NGAGEL BILKA BARAT FIX,SIMPANG,Simpang Ngagel Jaya Selatan Bilka Hadap Barat,112.755068,-7.29357,TELKOM,PUSAT,HIKVISION,DS-2CD7A85G0-IZSP/AI
340,PANDEGILING IMAM BONJOL SELATAN ,SIMPANG,Simpang Pandegiling - Imam Bonjol Hadap Selatan,"112,735,746","-7,276,136",KOMINFO,PUSAT,HIKVISION,DS-2DY3320IW-DE
341,PANDEGILING IMAM BONJOL BARAT ,SIMPANG,Simpang Pandegiling - Imam Bonjol Hadap Barat,"112,735,721","-7,276,023",KOMINFO,PUSAT,HIKVISION,DS-2DY3320IW-DE
342,PANDEGILING IMAM BONJOL TIMUR ,SIMPANG,Simpang Pandegiling - Imam Bonjol Hadap Timur,"112,735,809","-7,276,104",KOMINFO,PUSAT,HIKVISION,DS-2DY3320IW-DE
